step,loss,accuracy,weighted_accuracy
1,1.6936393976211548,0.875,0.4777888059616089
100,1.4538207054138184,0.8359375,0.5633074641227722
200,1.0308102369308472,0.890625,0.6347336173057556
300,0.7437321543693542,0.88671875,0.7466740608215332
400,0.9592827558517456,0.8828125,0.7411536574363708
500,0.47187793254852295,0.8984375,0.8411835432052612
600,0.8623303174972534,0.87890625,0.7409919500350952
700,0.5836690068244934,0.91796875,0.8387097120285034
800,0.5311211347579956,0.90625,0.86040198802948
900,0.624146044254303,0.8984375,0.8187106251716614
1000,0.3766764998435974,0.92578125,0.8133492469787598
1100,0.3180156648159027,0.91796875,0.8949275612831116
1200,0.28016549348831177,0.94140625,0.9616284966468811
1300,0.23537087440490723,0.94921875,0.9569892883300781
1400,0.3010939061641693,0.92578125,0.8969331383705139
1500,0.2627097964286804,0.9453125,0.9341084957122803
1600,0.12074802070856094,0.96484375,0.9833230376243591
1700,0.1847282499074936,0.9609375,0.9643236994743347
1800,0.10834820568561554,0.95703125,0.9546926021575928
1900,0.10994797199964523,0.97265625,0.9878613948822021
2000,0.09643606841564178,0.94921875,0.9803921580314636
2100,0.13520655035972595,0.95703125,0.9666666388511658
2200,0.11635810136795044,0.95703125,0.9830943942070007
2300,0.10389083623886108,0.98828125,0.9957141876220703
2400,0.07781783491373062,0.9609375,0.9843342304229736
2500,0.10905449837446213,0.97265625,0.9678491950035095
