source,seed,steps,return,fallback_actions
random,0,57,-179.51500000000004,0
random,1,92,-100.00999999999996,0
random,2,96,-225.45299999999997,0
greedy_nearest,0,158,1231.6280000000006,0
greedy_nearest,1,139,940.2930000000001,0
greedy_nearest,2,159,1377.8490000000006,0
milp_rolling,0,144,980.8920000000003,0
milp_rolling,1,139,979.5030000000002,0
milp_rolling,2,167,1558.599000000001,0
role_a_dqn,0,276,-1382.4599999999964,0
role_a_dqn,1,235,-1141.7979999999986,0
role_a_dqn,2,170,-602.8749999999999,0
role_a_double_dqn,0,232,-1412.5799999999977,0
role_a_double_dqn,1,143,-592.179,0
role_a_double_dqn,2,174,-353.671,0
role_b_a2c,0,71,-261.185,0
role_b_a2c,1,146,-205.77200000000016,0
role_b_a2c,2,144,-335.0989999999998,0
role_b_bc,0,200,896.4160000000002,0
role_b_bc,1,61,-1066.1229999999998,0
role_b_bc,2,69,-1168.4450000000002,0
role_c_meta_dynaq_v2,0,176,1775.6910000000003,0
role_c_meta_dynaq_v2,1,161,1559.8350000000019,0
role_c_meta_dynaq_v2,2,163,1462.7340000000008,0
