step,loss,accuracy,q_dataset_mean,q_max_mean,ood_gap
1,2.2368950843811035,0.1796875,0.2918500304222107,1.0882809162139893,0.7964308857917786
100,1.346514344215393,0.57421875,0.7747256755828857,1.2341231107711792,0.45939746499061584
200,0.9388599991798401,0.72265625,0.9326318502426147,1.2080745697021484,0.27544277906417847
300,0.6419166326522827,0.78125,0.6721963882446289,0.8846839070320129,0.21248751878738403
400,0.4322284162044525,0.875,1.7220749855041504,1.8547251224517822,0.1326500028371811
500,0.29210081696510315,0.94140625,0.9929583668708801,1.1196320056915283,0.12667347490787506
600,0.267031729221344,0.9296875,1.194835901260376,1.2508509159088135,0.05601506680250168
700,0.16094353795051575,0.96875,1.449774980545044,1.4657011032104492,0.01592624932527542
800,0.16049830615520477,0.96484375,2.3601629734039307,2.395698308944702,0.03553509712219238
900,0.1263100504875183,0.97265625,2.206864356994629,2.2163312435150146,0.009466912597417831
1000,0.11017370223999023,0.97265625,2.5351133346557617,2.5656919479370117,0.030578887090086937
