step,loss,bellman_loss,conservative_penalty,q_dataset_mean,q_max_mean,ood_gap
1,4.540197372436523,4.305242538452148,2.349546194076538,0.1615036278963089,0.7447546124458313,0.5832509994506836
100,2.5246615409851074,2.261397361755371,2.6326406002044678,0.6881940364837646,1.8050856590270996,1.1168917417526245
200,2.1176586151123047,1.8649111986160278,2.527474880218506,1.8699061870574951,3.0122547149658203,1.1423486471176147
300,2.514432430267334,2.2798867225646973,2.345456600189209,3.1568615436553955,4.264504432678223,1.1076430082321167
400,1.178346872329712,0.9367988705635071,2.4154796600341797,4.592410564422607,5.806369781494141,1.2139594554901123
500,0.9498333930969238,0.7040258646011353,2.458075523376465,5.435176849365234,7.110396862030029,1.675219178199768
600,1.1806458234786987,0.9244534373283386,2.5619235038757324,7.174469470977783,8.657760620117188,1.4832918643951416
700,0.8308846950531006,0.5706590414047241,2.6022567749023438,8.30218505859375,9.877347946166992,1.5751636028289795
800,0.9237033724784851,0.6387656927108765,2.849376678466797,10.061220169067383,11.683950424194336,1.6227296590805054
900,1.0060710906982422,0.7134292721748352,2.9264183044433594,11.638223648071289,13.375306129455566,1.737081527709961
1000,0.9291504621505737,0.6744096279144287,2.547408103942871,13.528614044189453,15.161778450012207,1.633164644241333
1100,1.1061652898788452,0.8409379720687866,2.652273178100586,14.08080768585205,16.0132999420166,1.9324915409088135
1200,0.8553452491760254,0.6038092374801636,2.515359878540039,16.766273498535156,18.578765869140625,1.8124926090240479
1300,1.0753450393676758,0.8199147582054138,2.554302215576172,18.316509246826172,20.28717613220215,1.9706661701202393
1400,1.0095075368881226,0.7280000448226929,2.815074920654297,19.84501075744629,21.625003814697266,1.7799932956695557
1500,1.1389038562774658,0.848347544670105,2.9055633544921875,21.032838821411133,23.60966682434082,2.576827049255371
